atlas_id,n,m,degree_key,closure_key,extended_key
2,2,0,"(2, (0, 0))","(2, (0, 0), (np.int64(0), np.int64(0)))","(2, (0, 0), (np.int64(0), np.int64(0)), (0, 0), 0, 2)"
3,2,1,"(2, (1, 1))","(2, (1, 1), (np.int64(0), np.int64(0)))","(2, (1, 1), (np.int64(0), np.int64(0)), (1, 1), 1, 1)"
4,3,0,"(3, (0, 0, 0))","(3, (0, 0, 0), (np.int64(0), np.int64(0), np.int64(0)))","(3, (0, 0, 0), (np.int64(0), np.int64(0), np.int64(0)), (0, 0, 0), 0, 3)"
5,3,1,"(3, (0, 1, 1))","(3, (0, 1, 1), (np.int64(0), np.int64(0), np.int64(0)))","(3, (0, 1, 1), (np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1), 1, 2)"
6,3,2,"(3, (1, 1, 2))","(3, (1, 1, 2), (np.int64(0), np.int64(0), np.int64(0)))","(3, (1, 1, 2), (np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1), 2, 1)"
7,3,3,"(3, (2, 2, 2))","(3, (2, 2, 2), (np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(3, (2, 2, 2), (np.float64(1.0), np.float64(1.0), np.float64(1.0)), (2, 2, 2), 0, 1)"
8,4,0,"(4, (0, 0, 0, 0))","(4, (0, 0, 0, 0), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (0, 0, 0, 0), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 0, 0), 0, 4)"
9,4,1,"(4, (0, 0, 1, 1))","(4, (0, 0, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (0, 0, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 1, 1), 1, 3)"
10,4,2,"(4, (0, 1, 1, 2))","(4, (0, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (0, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1, 1), 2, 2)"
11,4,2,"(4, (1, 1, 1, 1))","(4, (1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1), 2, 2)"
12,4,3,"(4, (0, 2, 2, 2))","(4, (0, 2, 2, 2), (np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(4, (0, 2, 2, 2), (np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (0, 2, 2, 2), 0, 2)"
13,4,3,"(4, (1, 1, 1, 3))","(4, (1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1), 3, 1)"
14,4,3,"(4, (1, 1, 2, 2))","(4, (1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (1, 1, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (1, 1, 1, 1), 3, 1)"
15,4,4,"(4, (1, 2, 2, 3))","(4, (1, 2, 2, 3), (np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)))","(4, (1, 2, 2, 3), (np.float64(0.0), np.float64(0.333333333333), np.float64(1.0), np.float64(1.0)), (1, 2, 2, 2), 1, 1)"
16,4,4,"(4, (2, 2, 2, 2))","(4, (2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(4, (2, 2, 2, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (2, 2, 2, 2), 0, 1)"
17,4,5,"(4, (2, 2, 3, 3))","(4, (2, 2, 3, 3), (np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)))","(4, (2, 2, 3, 3), (np.float64(0.666666666667), np.float64(0.666666666667), np.float64(1.0), np.float64(1.0)), (2, 2, 2, 2), 0, 1)"
18,4,6,"(4, (3, 3, 3, 3))","(4, (3, 3, 3, 3), (np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(4, (3, 3, 3, 3), (np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (3, 3, 3, 3), 0, 1)"
19,5,0,"(5, (0, 0, 0, 0, 0))","(5, (0, 0, 0, 0, 0), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 0, 0, 0, 0), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 0, 0, 0), 0, 5)"
20,5,1,"(5, (0, 0, 0, 1, 1))","(5, (0, 0, 0, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 0, 0, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 0, 1, 1), 1, 4)"
21,5,2,"(5, (0, 0, 1, 1, 2))","(5, (0, 0, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 0, 1, 1, 2), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 0, 1, 1, 1), 2, 3)"
22,5,2,"(5, (0, 1, 1, 1, 1))","(5, (0, 1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 1, 1, 1, 1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1, 1, 1), 2, 3)"
23,5,3,"(5, (0, 0, 2, 2, 2))","(5, (0, 0, 2, 2, 2), (np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)))","(5, (0, 0, 2, 2, 2), (np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)), (0, 0, 2, 2, 2), 0, 3)"
24,5,3,"(5, (0, 1, 1, 1, 3))","(5, (0, 1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)))","(5, (0, 1, 1, 1, 3), (np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)), (0, 1, 1, 1, 1), 3, 2)"
