n,seed,representation,seconds
100,0,Structural summary,0.1601698899994517
100,0,Node-link (50 iterations),0.08645063499989192
100,0,Dense adjacency,0.04931135599963454
100,1,Structural summary,0.17285066100066615
100,1,Node-link (50 iterations),0.08565796199945908
100,1,Dense adjacency,0.050133923000430514
100,2,Structural summary,0.14999819900003786
100,2,Node-link (50 iterations),0.07902886500050954
100,2,Dense adjacency,0.06262647499988816
300,0,Structural summary,0.20068988099956186
300,0,Node-link (50 iterations),0.3204748970001674
300,0,Dense adjacency,0.14783827399969596
300,1,Structural summary,0.2325660060005248
300,1,Node-link (50 iterations),0.3071738799999366
300,1,Dense adjacency,0.10464331000002858
300,2,Structural summary,0.235597580999638
300,2,Node-link (50 iterations),0.35334947100000136
300,2,Dense adjacency,0.11388317000000825
1000,0,Structural summary,0.4642909920003149
1000,0,Node-link (50 iterations),6.011324413000693
1000,0,Dense adjacency,0.32960623600047256
1000,1,Structural summary,0.5058601869995982
1000,1,Node-link (50 iterations),6.095510262999596
1000,1,Dense adjacency,0.2190855670005476
1000,2,Structural summary,0.469637891000275
1000,2,Node-link (50 iterations),6.031876401999398
1000,2,Dense adjacency,0.3656152570001723
2000,0,Structural summary,1.1270809170000575
2000,0,Node-link (50 iterations),17.478005640000447
2000,0,Dense adjacency,1.1613168570002017
2000,1,Structural summary,0.8288227339999139
2000,1,Node-link (50 iterations),18.456867300999875
2000,1,Dense adjacency,0.894442257999799
2000,2,Structural summary,1.05304274899936
2000,2,Node-link (50 iterations),23.754211070000565
2000,2,Dense adjacency,1.033263230000557
