dataset,community,vertices,vertex_share,internal_edges,internal_density
Karate club,0,12,0.35294117647058826,24,0.36363636363636365
Karate club,1,11,0.3235294117647059,20,0.36363636363636365
Karate club,2,6,0.17647058823529413,7,0.4666666666666667
Karate club,3,5,0.14705882352941177,6,0.6
Les Miserables,0,18,0.23376623376623376,33,0.21568627450980393
Les Miserables,1,17,0.22077922077922077,66,0.4852941176470588
Les Miserables,2,11,0.14285714285714285,36,0.6545454545454545
Les Miserables,3,11,0.14285714285714285,18,0.32727272727272727
Les Miserables,4,10,0.12987012987012986,31,0.6888888888888889
Les Miserables,5,10,0.12987012987012986,10,0.2222222222222222
Southern women,0,12,0.375,27,0.4090909090909091
Southern women,1,11,0.34375,22,0.4
Southern women,2,6,0.1875,6,0.4
Southern women,3,3,0.09375,2,0.6666666666666666
Florentine families,0,5,0.3333333333333333,5,0.5
Florentine families,1,4,0.26666666666666666,3,0.5
Florentine families,2,4,0.26666666666666666,5,0.8333333333333334
Florentine families,3,2,0.13333333333333333,1,1.0
C. elegans,0,77,0.25925925925925924,392,0.1339712918660287
C. elegans,1,75,0.25252525252525254,256,0.09225225225225225
C. elegans,2,61,0.2053872053872054,247,0.13497267759562842
C. elegans,3,59,0.19865319865319866,372,0.217416715371128
C. elegans,4,25,0.08417508417508418,67,0.22333333333333333
