n,m,seed,descriptor_seconds
100,291,0,0.021775577999505913
100,291,1,0.021806933999869216
100,291,2,0.02114174800044566
100,291,3,0.021049472999948193
100,291,4,0.020782678000614396
300,891,0,0.0670878900000389
300,891,1,0.07020723599998746
300,891,2,0.09307294700010971
300,891,3,0.07533036499989976
300,891,4,0.07511482199970487
1000,2991,0,0.3521945960001176
1000,2991,1,0.378585897999983
1000,2991,2,0.4406787739999345
1000,2991,3,0.3005257149998215
1000,2991,4,0.41760456699921633
3000,8991,0,3.358127845999661
3000,8991,1,1.6207449960002123
3000,8991,2,1.725075423000817
3000,8991,3,2.0767075389994716
3000,8991,4,2.9458473209997464
10000,29991,0,14.138053057999969
10000,29991,1,9.51065524600017
10000,29991,2,8.930249502000152
10000,29991,3,7.750814175000414
10000,29991,4,10.950276787000803
