dataset,source,target,bridge,within_community
Karate club,0,1,False,True
Karate club,0,12,False,True
Karate club,0,23,False,True
Karate club,0,28,False,False
Karate club,0,29,False,False
Karate club,0,30,False,False
Karate club,0,31,False,True
Karate club,0,32,False,False
Karate club,0,2,False,False
Karate club,0,3,True,True
Karate club,0,4,False,True
Karate club,0,5,False,True
Karate club,0,9,False,True
Karate club,0,11,False,True
Karate club,0,14,False,True
Karate club,0,25,False,False
Karate club,1,12,False,True
Karate club,1,23,False,True
Karate club,1,31,False,True
Karate club,1,5,False,True
Karate club,1,9,False,True
Karate club,1,11,False,True
Karate club,1,14,False,True
Karate club,1,24,False,False
Karate club,2,28,False,True
Karate club,2,29,False,True
Karate club,4,23,False,True
Karate club,5,12,False,True
Karate club,5,23,False,True
Karate club,5,27,False,False
Karate club,6,26,False,True
Karate club,6,27,False,True
Karate club,7,26,False,True
Karate club,7,27,False,True
Karate club,8,29,False,True
Karate club,8,30,False,True
Karate club,10,26,False,True
Karate club,10,27,False,True
Karate club,11,27,False,False
Karate club,12,23,False,True
Karate club,12,31,False,True
Karate club,12,32,False,False
Karate club,12,33,False,True
Karate club,12,20,False,False
Karate club,12,21,False,False
Karate club,12,26,False,False
Karate club,13,26,False,True
Karate club,13,27,False,True
Karate club,15,26,False,True
Karate club,15,27,False,True
Karate club,16,18,False,True
Karate club,16,20,False,True
Karate club,16,22,False,False
Karate club,16,26,False,False
Karate club,16,27,False,False
Karate club,17,18,False,True
Karate club,17,20,False,True
Karate club,17,25,False,True
Karate club,18,25,False,True
Karate club,19,22,False,True
Karate club,19,27,False,True
Karate club,20,27,False,False
Karate club,21,25,False,True
Karate club,21,27,False,False
Karate club,22,26,False,True
Karate club,22,27,False,True
Karate club,23,31,False,True
Karate club,24,32,False,True
Karate club,24,26,False,True
Karate club,24,27,False,True
Karate club,25,26,False,False
Karate club,25,27,False,False
Karate club,26,32,False,True
Karate club,26,27,False,True
Karate club,27,32,False,True
Karate club,27,33,False,False
Karate club,28,30,False,True
Karate club,29,30,False,True
Les Miserables,0,58,False,True
Les Miserables,0,70,False,True
Les Miserables,0,25,False,True
Les Miserables,1,73,False,False
Les Miserables,1,58,False,True
Les Miserables,1,70,False,True
Les Miserables,1,39,False,True
Les Miserables,1,25,False,True
Les Miserables,1,31,False,False
Les Miserables,1,37,False,True
Les Miserables,1,15,False,True
Les Miserables,1,59,False,True
Les Miserables,1,9,False,True
Les Miserables,2,31,False,True
Les Miserables,2,49,False,False
Les Miserables,2,46,False,True
Les Miserables,2,24,False,True
Les Miserables,2,17,False,True
Les Miserables,2,67,False,True
Les Miserables,2,30,False,True
Les Miserables,2,21,False,True
Les Miserables,2,6,False,True
Les Miserables,2,40,False,True
Les Miserables,2,35,False,True
Les Miserables,2,55,False,True
Les Miserables,3,73,False,True
Les Miserables,3,27,False,False
Les Miserables,3,39,False,False
Les Miserables,3,42,False,True
Les Miserables,3,10,False,True
Les Miserables,3,8,False,True
Les Miserables,3,12,False,True
Les Miserables,3,16,False,True
Les Miserables,4,34,False,True
Les Miserables,4,49,False,True
Les Miserables,5,44,False,True
Les Miserables,5,71,False,True
Les Miserables,5,26,False,True
Les Miserables,5,29,False,True
Les Miserables,5,23,False,True
Les Miserables,5,76,False,True
Les Miserables,5,27,False,True
Les Miserables,6,73,False,False
Les Miserables,6,31,False,True
Les Miserables,6,49,False,False
Les Miserables,6,46,False,True
Les Miserables,6,24,False,True
Les Miserables,6,17,False,True
Les Miserables,6,67,False,True
Les Miserables,6,30,False,True
Les Miserables,6,21,False,True
Les Miserables,6,40,False,True
Les Miserables,6,35,False,True
Les Miserables,6,55,False,True
Les Miserables,7,70,True,True
Les Miserables,8,73,False,True
Les Miserables,8,42,False,True
Les Miserables,8,10,False,True
Les Miserables,8,12,False,True
Les Miserables,8,16,False,True
Les Miserables,9,70,False,True
Les Miserables,9,25,False,True
Les Miserables,9,31,False,False
Les Miserables,9,37,False,True
Les Miserables,9,15,False,True
Les Miserables,9,59,False,True
Les Miserables,10,73,False,True
Les Miserables,10,42,False,True
Les Miserables,10,12,False,True
Les Miserables,10,16,False,True
Les Miserables,11,62,True,True
Les Miserables,12,73,False,True
Les Miserables,12,42,False,True
Les Miserables,12,16,False,True
Les Miserables,13,31,False,True
Les Miserables,13,14,False,True
Les Miserables,14,31,False,True
Les Miserables,15,73,False,False
Les Miserables,15,58,False,True
Les Miserables,15,70,False,True
Les Miserables,15,39,False,True
Les Miserables,15,25,False,True
Les Miserables,15,24,False,False
Les Miserables,15,37,False,True
Les Miserables,15,59,False,True
Les Miserables,16,73,False,True
Les Miserables,16,42,False,True
Les Miserables,17,31,False,True
Les Miserables,17,49,False,False
Les Miserables,17,46,False,True
Les Miserables,17,24,False,True
Les Miserables,17,67,False,True
Les Miserables,17,30,False,True
Les Miserables,17,21,False,True
Les Miserables,17,40,False,True
Les Miserables,17,35,False,True
Les Miserables,18,73,False,False
Les Miserables,18,71,False,False
Les Miserables,18,58,False,False
Les Miserables,18,70,False,False
Les Miserables,18,39,False,False
Les Miserables,18,75,False,True
Les Miserables,18,34,False,True
Les Miserables,18,51,False,True
Les Miserables,18,45,False,True
Les Miserables,18,49,False,True
Les Miserables,18,72,False,False
Les Miserables,19,62,True,True
Les Miserables,20,62,True,True
Les Miserables,21,25,False,False
Les Miserables,21,31,False,True
Les Miserables,21,49,False,False
Les Miserables,21,46,False,True
Les Miserables,21,24,False,True
Les Miserables,21,67,False,True
Les Miserables,21,30,False,True
Les Miserables,21,40,False,True
Les Miserables,21,35,False,True
Les Miserables,21,55,False,True
Les Miserables,22,62,True,True
Les Miserables,23,44,False,True
Les Miserables,23,71,False,True
Les Miserables,23,26,False,True
Les Miserables,23,29,False,True
Les Miserables,23,76,False,True
Les Miserables,23,27,False,True
Les Miserables,24,73,False,False
Les Miserables,24,39,False,False
Les Miserables,24,31,False,True
Les Miserables,24,49,False,False
Les Miserables,24,46,False,True
Les Miserables,24,67,False,True
Les Miserables,24,30,False,True
Les Miserables,24,40,False,True
Les Miserables,24,35,False,True
Les Miserables,24,55,False,True
Les Miserables,25,58,False,True
Les Miserables,25,70,False,True
Les Miserables,25,49,False,False
Les Miserables,25,46,False,False
Les Miserables,25,37,False,True
Les Miserables,25,59,False,True
Les Miserables,26,44,False,True
Les Miserables,26,71,False,True
Les Miserables,26,29,False,True
Les Miserables,26,76,False,True
Les Miserables,26,27,False,True
Les Miserables,27,73,False,False
Les Miserables,27,48,False,False
Les Miserables,27,44,False,True
Les Miserables,27,71,False,True
Les Miserables,27,29,False,True
Les Miserables,27,76,False,True
Les Miserables,27,58,False,False
Les Miserables,27,70,False,False
Les Miserables,27,39,False,False
Les Miserables,27,65,False,True
Les Miserables,27,69,False,True
Les Miserables,28,73,False,True
Les Miserables,28,39,False,False
Les Miserables,28,60,False,True
Les Miserables,28,36,True,True
Les Miserables,29,44,False,True
Les Miserables,29,71,False,True
Les Miserables,29,76,False,True
Les Miserables,30,31,False,True
Les Miserables,30,49,False,False
Les Miserables,30,46,False,True
Les Miserables,30,67,False,True
Les Miserables,30,40,False,True
Les Miserables,30,35,False,True
Les Miserables,31,73,False,False
Les Miserables,31,70,False,False
Les Miserables,31,39,False,False
Les Miserables,31,53,True,True
Les Miserables,31,49,False,False
Les Miserables,31,46,False,True
Les Miserables,31,67,False,True
Les Miserables,31,40,False,True
Les Miserables,31,35,False,True
Les Miserables,31,37,False,False
Les Miserables,31,59,False,False
Les Miserables,31,55,False,True
Les Miserables,32,62,True,True
Les Miserables,33,73,True,True
Les Miserables,34,73,False,False
Les Miserables,34,47,False,True
Les Miserables,34,51,False,True
Les Miserables,34,45,False,True
