dataset,seed_a,seed_b,ARI
Karate club,0,1,0.8954674616853776
Karate club,0,2,0.8954674616853776
Karate club,0,3,0.7665231379956141
Karate club,0,4,1.0
Karate club,0,5,0.7665231379956141
Karate club,0,6,0.7665231379956141
Karate club,0,7,0.8954674616853776
Karate club,0,8,0.8954674616853776
Karate club,0,9,0.8653018103820851
Karate club,0,10,0.7665231379956141
Karate club,0,11,0.8653018103820851
Karate club,0,12,0.8653018103820851
Karate club,0,13,0.563919028340081
Karate club,0,14,0.8954674616853776
Karate club,0,15,0.8653018103820851
Karate club,0,16,1.0
Karate club,0,17,1.0
Karate club,0,18,0.8954674616853776
Karate club,0,19,0.563919028340081
Karate club,1,2,1.0
Karate club,1,3,0.8569379363106053
Karate club,1,4,0.8954674616853776
Karate club,1,5,0.8569379363106053
Karate club,1,6,0.8569379363106053
Karate club,1,7,1.0
Karate club,1,8,1.0
Karate club,1,9,0.7585827675241466
Karate club,1,10,0.8569379363106053
Karate club,1,11,0.7585827675241466
Karate club,1,12,0.7585827675241466
Karate club,1,13,0.5116312811336268
Karate club,1,14,1.0
Karate club,1,15,0.7585827675241466
Karate club,1,16,0.8954674616853776
Karate club,1,17,0.8954674616853776
Karate club,1,18,1.0
Karate club,1,19,0.5116312811336268
Karate club,2,3,0.8569379363106053
Karate club,2,4,0.8954674616853776
Karate club,2,5,0.8569379363106053
Karate club,2,6,0.8569379363106053
Karate club,2,7,1.0
Karate club,2,8,1.0
Karate club,2,9,0.7585827675241466
Karate club,2,10,0.8569379363106053
Karate club,2,11,0.7585827675241466
Karate club,2,12,0.7585827675241466
Karate club,2,13,0.5116312811336268
Karate club,2,14,1.0
Karate club,2,15,0.7585827675241466
Karate club,2,16,0.8954674616853776
Karate club,2,17,0.8954674616853776
Karate club,2,18,1.0
Karate club,2,19,0.5116312811336268
Karate club,3,4,0.7665231379956141
Karate club,3,5,1.0
Karate club,3,6,1.0
Karate club,3,7,0.8569379363106053
Karate club,3,8,0.8569379363106053
Karate club,3,9,0.8981515101501898
Karate club,3,10,1.0
Karate club,3,11,0.8981515101501898
Karate club,3,12,0.8981515101501898
Karate club,3,13,0.6434103340414499
Karate club,3,14,0.8569379363106053
Karate club,3,15,0.8981515101501898
Karate club,3,16,0.7665231379956141
Karate club,3,17,0.7665231379956141
Karate club,3,18,0.8569379363106053
Karate club,3,19,0.6434103340414499
Karate club,4,5,0.7665231379956141
Karate club,4,6,0.7665231379956141
Karate club,4,7,0.8954674616853776
Karate club,4,8,0.8954674616853776
Karate club,4,9,0.8653018103820851
Karate club,4,10,0.7665231379956141
Karate club,4,11,0.8653018103820851
Karate club,4,12,0.8653018103820851
Karate club,4,13,0.563919028340081
Karate club,4,14,0.8954674616853776
Karate club,4,15,0.8653018103820851
Karate club,4,16,1.0
Karate club,4,17,1.0
Karate club,4,18,0.8954674616853776
Karate club,4,19,0.563919028340081
Karate club,5,6,1.0
Karate club,5,7,0.8569379363106053
Karate club,5,8,0.8569379363106053
Karate club,5,9,0.8981515101501898
Karate club,5,10,1.0
Karate club,5,11,0.8981515101501898
Karate club,5,12,0.8981515101501898
Karate club,5,13,0.6434103340414499
Karate club,5,14,0.8569379363106053
Karate club,5,15,0.8981515101501898
Karate club,5,16,0.7665231379956141
Karate club,5,17,0.7665231379956141
Karate club,5,18,0.8569379363106053
Karate club,5,19,0.6434103340414499
Karate club,6,7,0.8569379363106053
Karate club,6,8,0.8569379363106053
Karate club,6,9,0.8981515101501898
Karate club,6,10,1.0
Karate club,6,11,0.8981515101501898
Karate club,6,12,0.8981515101501898
Karate club,6,13,0.6434103340414499
Karate club,6,14,0.8569379363106053
Karate club,6,15,0.8981515101501898
Karate club,6,16,0.7665231379956141
Karate club,6,17,0.7665231379956141
Karate club,6,18,0.8569379363106053
Karate club,6,19,0.6434103340414499
Karate club,7,8,1.0
Karate club,7,9,0.7585827675241466
Karate club,7,10,0.8569379363106053
Karate club,7,11,0.7585827675241466
Karate club,7,12,0.7585827675241466
Karate club,7,13,0.5116312811336268
Karate club,7,14,1.0
Karate club,7,15,0.7585827675241466
Karate club,7,16,0.8954674616853776
