family,size,seed,PC1,PC2
Random,120,0,-1.9199904216422146,1.0344644733198323
Random,120,1,-1.9293498558098154,0.7252751642649816
Random,120,2,-1.3856018556523126,0.9163652504365213
Random,120,3,-1.4354962353841751,0.8663652940792677
Random,120,4,-1.8126470044961553,0.9616808549383951
Random,120,5,-1.5330892636991194,-0.3424478115772184
Random,120,6,-1.961300746582039,0.6267978892852633
Random,120,7,-1.7341196412745787,2.16181901273941
Random,120,8,-1.41250786517868,-0.9239990675814731
Random,120,9,-1.8344398031919915,1.7990814195574723
Random,120,10,-1.9110762174423632,0.6177588212500399
Random,120,11,-2.168336360016434,1.0714907557270301
Random,240,0,-1.5392710217753942,-0.3123588594296926
Random,240,1,-2.145914830855075,0.7448757405789197
Random,240,2,-2.268920962072449,1.010793733174329
Random,240,3,-2.240782015651671,0.9920006772204671
Random,240,4,-2.455101029209874,1.1658757164573832
Random,240,5,-2.0387012414782015,0.9181199397218639
Random,240,6,-2.09414092662917,0.7913717753784884
Random,240,7,-2.064546335768604,0.01345094275874674
Random,240,8,-2.06182588367459,0.5680927710497136
Random,240,9,-2.0742566165066467,0.8005789935199932
Random,240,10,-2.145281124730762,0.7200513078556073
Random,240,11,-2.0256574117228414,2.5321991071939487
Random,480,0,-2.3231651056293736,0.9757341230708295
Random,480,1,-2.3391072206795083,0.5882469892308878
Random,480,2,-1.9860961276999243,0.25371577972866344
Random,480,3,-2.051644142383802,0.4871065208318425
Random,480,4,-2.284644673097143,1.5702537113325166
Random,480,5,-2.335106527543835,0.9369197276695649
Random,480,6,-2.1478674461130964,1.0463116752177952
Random,480,7,-2.4376433169833986,1.1092654699328783
Random,480,8,-2.3171193512195845,0.5669193212277976
Random,480,9,-2.3455166870035913,1.0954108459562002
Random,480,10,-2.4706510411250973,0.9957744001266812
Random,480,11,-2.398980792144206,0.7419223198204272
Preferential,120,0,-2.9353293596511936,-2.4413776088684314
Preferential,120,1,-2.9085489993244606,-2.4559929897610333
Preferential,120,2,-2.890845164148503,-3.4049814699155396
Preferential,120,3,-2.81686416745779,-2.360662159912128
Preferential,120,4,-3.05503098819923,-2.8777049536115342
Preferential,120,5,-3.0714724919051264,-2.3772521338237884
Preferential,120,6,-3.053105224503136,-3.193481754769048
Preferential,120,7,-2.8288988179756203,-2.15192215280978
Preferential,120,8,-2.9820883504592146,-2.5890291983154494
Preferential,120,9,-3.0042490448905053,-2.2017940210796754
Preferential,120,10,-3.0760861611229116,-3.0925785835980197
Preferential,120,11,-3.154470888955893,-2.9146444882721667
Preferential,240,0,-3.8584261198448764,-2.7562680325704627
Preferential,240,1,-3.701218532021539,-2.516222732311665
Preferential,240,2,-3.8103613291993765,-2.914485909087903
Preferential,240,3,-3.740139822321706,-2.9380316785612015
Preferential,240,4,-3.8319319240598055,-3.0448289234766053
Preferential,240,5,-3.6719541769736046,-3.0530095764347336
Preferential,240,6,-3.8209773129786835,-3.1016525101952466
Preferential,240,7,-3.5323891647129915,-2.4292746086025203
Preferential,240,8,-3.7025833299468736,-2.9551434923114623
Preferential,240,9,-3.7537481405767514,-2.9567794072470006
Preferential,240,10,-3.7809288916376533,-2.842111549029652
Preferential,240,11,-3.7836670453434476,-2.6000052059243925
Preferential,480,0,-3.910378997458216,-2.4666174532330314
Preferential,480,1,-4.283666704594817,-3.0704752953457066
Preferential,480,2,-4.163596685460625,-2.8678078630815773
Preferential,480,3,-4.125311735983381,-2.8478885919558095
Preferential,480,4,-4.047710657992329,-2.4075011741315344
Preferential,480,5,-4.1732764412402785,-2.5467291161497214
Preferential,480,6,-4.087380533810041,-2.337212795807828
Preferential,480,7,-4.200346947425222,-2.7629682206907202
Preferential,480,8,-4.006631735102743,-2.524900961800903
Preferential,480,9,-4.292387129782987,-3.051250460832777
Preferential,480,10,-4.166281256541846,-2.9342045878352656
Preferential,480,11,-4.152507598506888,-2.928451958762726
Small-world,120,0,2.8469468675318366,2.8981667456747364
Small-world,120,1,2.441443865280139,3.090833510763599
Small-world,120,2,2.913408167625139,2.894153912523698
Small-world,120,3,2.588042531292998,2.8759872298433415
Small-world,120,4,2.72421145164474,2.9052640652957744
Small-world,120,5,2.702978972037494,2.8441639663936216
Small-world,120,6,2.4479909029404414,2.7554379691817363
Small-world,120,7,3.272775480692299,3.302056124742917
Small-world,120,8,2.5826050065498083,2.8947562836664176
Small-world,120,9,2.7531540457997195,2.8302799397246634
Small-world,120,10,2.6252880804748675,3.1017113646140473
Small-world,120,11,2.874630619638155,2.9190072571899788
Small-world,240,0,2.450244077266145,3.1322718993047047
Small-world,240,1,2.530484287653956,3.1769822596228314
Small-world,240,2,2.594426775187208,3.000622221351238
Small-world,240,3,2.8355480493830147,3.110120472461593
Small-world,240,4,2.752239150027481,3.123301163089696
Small-world,240,5,2.595763157119318,3.058765134366655
Small-world,240,6,2.626318849120325,3.135925630077822
Small-world,240,7,2.217118010952357,3.17443355978721
Small-world,240,8,2.7500768250841485,3.056376013920894
Small-world,240,9,2.6278380676405138,3.0073577645041847
Small-world,240,10,2.2523810935377,2.817106070427912
Small-world,240,11,2.4424484125689245,3.3779317180765074
Small-world,480,0,2.4532178472384625,3.297752665361334
Small-world,480,1,2.3383302701977247,3.3216710695961926
Small-world,480,2,2.562240163358501,3.270656609703455
Small-world,480,3,2.550300621988865,3.272566078717726
Small-world,480,4,2.5568395717982026,3.191477371352796
Small-world,480,5,2.493966992906877,3.29269137436237
Small-world,480,6,2.6340768915315413,3.2621287097428255
Small-world,480,7,2.5862787924058686,3.1835884184987506
Small-world,480,8,2.4556722294112276,3.2377155563166804
Small-world,480,9,2.644912301531144,3.352017510476539
Small-world,480,10,2.536787719857581,3.377298990062879
Small-world,480,11,2.4475940795557865,3.1603381613162567
Block,120,0,-1.1859543337391967,2.134456564339554
Block,120,1,-1.4365173617121216,2.564175579409608
Block,120,2,-1.0275790067038797,0.9210448184199559
Block,120,3,-1.6215302002497065,1.7126126881658332
Block,120,4,-1.6582625444573398,1.3505877666674353
Block,120,5,-0.7198747074173707,-0.047458877002877944
Block,120,6,-1.2111237485711817,1.6559967690826585
Block,120,7,-1.4508858775911018,1.7116163319381872
Block,120,8,-1.5166476663302695,1.877471126889992
Block,120,9,-1.3227055670970258,1.1887191738327638
Block,120,10,-1.6292614496208753,0.01065901965998178
Block,120,11,-1.229915836039206,2.5127700678218865
Block,240,0,-2.2311291389483547,1.34601401945991
Block,240,1,-1.7913268319350266,0.19118556390926275
Block,240,2,-2.365792507411485,1.5558279404035145
Block,240,3,-2.1509792468577915,0.9696272516620248
Block,240,4,-2.1287450658735083,1.0141719405986875
Block,240,5,-1.9088984413039232,2.3478999908393607
Block,240,6,-2.067945945623005,1.0921443841365395
Block,240,7,-2.214481885739098,1.399478193429128
Block,240,8,-2.0198857857675967,1.0874818160960673
Block,240,9,-2.1593599427844548,1.4382264662701885
Block,240,10,-1.8928042615490002,2.705049610640749
Block,240,11,-1.4254792270401329,1.9074099024703748
Block,480,0,-2.445999805891946,1.4531459016861994
Block,480,1,-2.5161278738626964,1.3477910844871726
Block,480,2,-2.4107834425770744,1.305890108694957
Block,480,3,-2.47401428500788,1.0680649967022064
Block,480,4,-2.193169091064715,1.8056977924387834
Block,480,5,-2.089278108710473,0.35240636796916036
Block,480,6,-2.333821546785498,1.0101386628153892
Block,480,7,-2.3616006712736204,1.3962801254624706
Block,480,8,-2.3734073865372265,0.9199818645428215
Block,480,9,-2.587279166238281,1.670847540227178
Block,480,10,-2.385483621810061,1.0368313214786578
Block,480,11,-2.4584146857377323,1.1080643237686265
Geometric,120,0,7.96826047542512,-6.473850821938119
Geometric,120,1,6.955641191577892,-4.012326334484459
Geometric,120,2,5.7921610204163585,-4.97749447454083
Geometric,120,3,4.867153906588582,-3.502954537293983
Geometric,120,4,4.066272199955654,-1.7800425851839594
Geometric,120,5,4.872961996629335,-3.3022076766099486
Geometric,120,6,7.191538600031982,-5.717633371660193
Geometric,120,7,3.81449625497878,-2.4574369052942338
Geometric,120,8,5.441767477867519,-4.055993785323778
Geometric,120,9,6.203078632832144,-4.539482186484554
Geometric,120,10,4.613987302575128,-2.6300591780575515
Geometric,120,11,5.847897180130393,-2.5055954512081127
Geometric,240,0,5.46214160883634,-2.474465644274929
Geometric,240,1,5.138075560536306,-2.5983349432852325
