feature,mean_drop,std_drop
largest_community_fraction,0.07583333333333311,0.0162232686116098
modularity,0.06916666666666646,0.022530843057659605
mean_degree,0.0,0.0
degree_cv,0.0,0.0
degree_q50,0.0,0.0
degree_q75,0.0,0.0
degree_gini,0.0,0.0
degree_q25,0.0,0.0
assortativity,0.0,0.0
degree_q95,0.0,0.0
transitivity,0.0,0.0
bridge_fraction,0.0,0.0
articulation_fraction,0.0,0.0
core_mean,0.0,0.0
isolate_fraction,0.0,0.0
largest_component_fraction,0.0,0.0
betweenness_q95,0.0,0.0
betweenness_mean,0.0,0.0
core_max,0.0,0.0
community_gini,-0.001666666666666683,0.0050000000000000495
clustering_mean,-0.0075000000000000734,0.008291561975888581
clustering_q50,-0.0075000000000000734,0.008291561975888581
clustering_q75,-0.0075000000000000734,0.008291561975888581
clustering_q25,-0.0075000000000000734,0.008291561975888581
