replicate,balanced_accuracy
0,0.18333333333333335
1,0.15
2,0.0
3,0.45
4,0.35
5,0.18333333333333332
6,0.11666666666666667
7,0.25
8,0.09999999999999999
9,0.06666666666666667
10,0.2
11,0.11666666666666667
12,0.03333333333333333
13,0.03333333333333333
14,0.2
15,0.15
16,0.18333333333333335
17,0.2
18,0.35
19,0.25
20,0.03333333333333333
21,0.3333333333333333
22,0.05
23,0.31666666666666665
24,0.4
25,0.15
26,0.11666666666666667
27,0.2333333333333333
28,0.016666666666666666
29,0.16666666666666669
30,0.33333333333333337
31,0.03333333333333333
32,0.16666666666666669
33,0.15
34,0.2666666666666667
35,0.16666666666666669
36,0.25
37,0.23333333333333334
38,0.2666666666666667
