dataset,resolution,seed,communities,Q_at_gamma,Q_at_one
Karate club,0.5,0,2,0.6217948717948718,0.3717948717948718
Karate club,0.5,1,2,0.6217948717948718,0.3717948717948718
Karate club,0.5,2,2,0.6217948717948718,0.3717948717948718
Karate club,0.5,3,2,0.6217948717948718,0.3717948717948718
Karate club,0.5,4,2,0.6217948717948718,0.3717948717948718
Karate club,0.75,0,3,0.5066568047337279,0.40203813280736356
Karate club,0.75,1,3,0.5066568047337279,0.40203813280736356
Karate club,0.75,2,3,0.5066568047337279,0.40203813280736356
Karate club,0.75,3,3,0.5066568047337279,0.40203813280736356
Karate club,0.75,4,3,0.5066568047337279,0.40203813280736356
Karate club,1.0,0,4,0.4155982905982906,0.4155982905982906
Karate club,1.0,1,4,0.41510519395134776,0.41510519395134776
Karate club,1.0,2,4,0.41510519395134776,0.41510519395134776
Karate club,1.0,3,4,0.41978961209730437,0.41978961209730437
Karate club,1.0,4,4,0.4155982905982906,0.4155982905982906
Karate club,1.25,0,4,0.3408119658119658,0.41880341880341876
Karate club,1.25,1,4,0.3324293228139382,0.4069690992767916
Karate club,1.25,2,4,0.32735453648915186,0.3952169625246548
Karate club,1.25,3,4,0.3420447074293228,0.41978961209730437
Karate club,1.25,4,4,0.3408119658119658,0.41880341880341876
Karate club,1.5,0,5,0.2654092702169625,0.3820677186061801
Karate club,1.5,1,4,0.2639299802761341,0.3981755424063116
Karate club,1.5,2,4,0.2594921104536489,0.3952169625246548
Karate club,1.5,3,4,0.2642998027613412,0.41978961209730437
Karate club,1.5,4,5,0.2760108481262327,0.40622945430637736
Karate club,2.0,0,7,0.1579552925706772,0.335387902695595
Karate club,2.0,1,7,0.16107823800131493,0.3690006574621959
Karate club,2.0,2,7,0.16403681788297172,0.3448389217619987
Karate club,2.0,3,7,0.16403681788297172,0.3448389217619987
Karate club,2.0,4,7,0.16107823800131493,0.3690006574621959
Les Miserables,0.5,0,4,0.6828344906689813,0.5034642569285138
Les Miserables,0.5,1,4,0.6828344906689813,0.5034642569285138
Les Miserables,0.5,2,4,0.6828344906689813,0.5034642569285138
Les Miserables,0.5,3,4,0.6828344906689813,0.5034642569285138
Les Miserables,0.5,4,4,0.6815479880959762,0.5008912517825035
Les Miserables,0.75,0,5,0.6110364095728191,0.5496233492466984
Les Miserables,0.75,1,4,0.6108659092318184,0.5428343356686713
Les Miserables,0.75,2,4,0.6108659092318184,0.5428343356686713
Les Miserables,0.75,3,5,0.6110364095728191,0.5496233492466984
Les Miserables,0.75,4,5,0.6106334087668175,0.5464613429226858
Les Miserables,1.0,0,7,0.5557846115692231,0.5557846115692231
Les Miserables,1.0,1,5,0.5561333622667245,0.5561333622667245
Les Miserables,1.0,2,6,0.56000837001674,0.56000837001674
Les Miserables,1.0,3,7,0.552738855477711,0.552738855477711
Les Miserables,1.0,4,6,0.5582723665447331,0.5582723665447331
Les Miserables,1.25,0,7,0.5018173786347572,0.5557846115692231
Les Miserables,1.25,1,7,0.5067851385702772,0.5573966147932296
Les Miserables,1.25,2,7,0.5073470146940294,0.5578461156922314
Les Miserables,1.25,3,8,0.5060798871597744,0.5513206026412053
Les Miserables,1.25,4,7,0.5060295120590241,0.5567921135842272
Les Miserables,1.5,0,8,0.4608391716783433,0.5513206026412053
Les Miserables,1.5,1,8,0.458002666005332,0.5494295988591977
Les Miserables,1.5,2,8,0.4588474176948354,0.5513051026102053
Les Miserables,1.5,3,8,0.4608391716783433,0.5513206026412053
Les Miserables,1.5,4,8,0.4608391716783433,0.5513206026412053
Les Miserables,2.0,0,8,0.3801537603075206,0.5365335730671461
Les Miserables,2.0,1,9,0.37677475354950707,0.5250015500031
Les Miserables,2.0,2,8,0.3801537603075206,0.5365335730671461
Les Miserables,2.0,3,8,0.3801537603075206,0.5365335730671461
Les Miserables,2.0,4,8,0.3801537603075206,0.5365335730671461
Southern women,0.5,0,2,0.5688360055548541,0.306211336952405
Southern women,0.5,1,2,0.5688360055548541,0.306211336952405
Southern women,0.5,2,2,0.573380886251736,0.3153010983461685
